bag,effort,tag,treatment,notes
G100,Effort A,Bag 3 Roberts,Treated,small green sheep tags
G099,Effort A,Bag 1 Roberts,Treated,small green sheep tags
G098,Effort A,Bag 2 Roberts,Treated,small green sheep tags
G097,Effort A,POGS 2023,Control,small green sheep tags
G096,Effort A,POGS 2023,Control,small green sheep tags
G095,Effort A,POGS 2023,Control,small green sheep tags
G094,Effort A,POGS 2023,Control,small green sheep tags
G093,Effort A,POGS 2023,Control,small green sheep tags
,,,,
,,,,
,,,,
,,,,