tag	max.length.mm	date
UW-SR1	15.34	20250604
UW-SR1	19.67	20250604
UW-SR1	21.75	20250604
UW-SR1	19.15	20250604
UW-SR1	20.26	20250604
UW-SR1	19.71	20250604
UW-SR1	15.12	20250604
UW-SR1	18.02	20250604
UW-SR1	13.3	20250604
UW-SR1	17.03	20250604
UW-SR1	16.87	20250604
UW-SR1	21.8	20250604
UW-SR1	20.92	20250604
UW-SR1	15.71	20250604
UW-SR1	21.21	20250604
UW-SR1	16.45	20250604
UW-SR1	19.86	20250604
UW-SR1	16.29	20250604
UW-SR1	16.46	20250604
UW-SR1	17.2	20250604
UW-SR2	17.85	20250604
UW-SR2	20.95	20250604
UW-SR2	24.08	20250604
UW-SR2	20.68	20250604
UW-SR2	15.4	20250604
UW-SR2	19.5	20250604
UW-SR2	18.43	20250604
UW-SR2	19.83	20250604
UW-SR2	18.64	20250604
UW-SR2	19.06	20250604
UW-SR2	16.55	20250604
UW-SR2	21.86	20250604
UW-SR2	18.56	20250604
UW-SR2	17.55	20250604
UW-SR2	17.25	20250604
UW-SR2	14.55	20250604
UW-SR2	17.31	20250604
UW-SR2	18.26	20250604
UW-SR2	15.43	20250604
UW-SR2	16.79	20250604
UW-SR3	22.93	20250604
UW-SR3	21.63	20250604
UW-SR3	19.59	20250604
UW-SR3	19.41	20250604
UW-SR3	22.03	20250604
UW-SR3	18.82	20250604
UW-SR3	20.4	20250604
UW-SR3	13.58	20250604
UW-SR3	15.38	20250604
UW-SR3	17.56	20250604
UW-SR3	19.29	20250604
UW-SR3	19.73	20250604
UW-SR3	15.55	20250604
UW-SR3	20.53	20250604
UW-SR3	17.99	20250604
UW-SR3	17.63	20250604
UW-SR3	16.29	20250604
UW-SR3	21.3	20250604
UW-SR3	19.16	20250604
UW-SR3	17.34	20250604
UW-SR3	19.46	20250604
UW-SR4	20.79	20250604
UW-SR4	20.33	20250604
UW-SR4	21.23	20250604
UW-SR4	19.39	20250604
UW-SR4	21.27	20250604
UW-SR4	17.65	20250604
UW-SR4	21.23	20250604
UW-SR4	20.47	20250604
UW-SR4	15.65	20250604
UW-SR4	19.26	20250604
UW-SR4	18.09	20250604
UW-SR4	17.43	20250604
UW-SR4	14.66	20250604
UW-SR4	18.78	20250604
UW-SR4	18.48	20250604
UW-SR4	16.62	20250604
UW-SR4	19.27	20250604
UW-SR4	19.78	20250604
UW-SR4	22.53	20250604
UW-SR4	17.69	20250604
UW-SR5	16.27	20250604
UW-SR5	21.17	20250604
UW-SR5	20.53	20250604
UW-SR5	20.28	20250604
UW-SR5	14.86	20250604
UW-SR5	16.83	20250604
UW-SR5	14.27	20250604
UW-SR5	16.79	20250604
UW-SR5	16.93	20250604
UW-SR5	17.9	20250604
UW-SR5	15.9	20250604
UW-SR5	14.12	20250604
UW-SR5	15.86	20250604
UW-SR5	16.61	20250604
UW-SR5	14.76	20250604
UW-SR5	17.87	20250604
UW-SR5	14.19	20250604
UW-SR5	13.77	20250604
UW-SR5	14.37	20250604
UW-SR5	15.35	20250604
UW-SR6	22.28	20250604
UW-SR6	18.68	20250604
UW-SR6	23.57	20250604
UW-SR6	23.02	20250604
UW-SR6	18.51	20250604
UW-SR6	19.08	20250604
UW-SR6	17.81	20250604
UW-SR6	21.04	20250604
UW-SR6	17.32	20250604
UW-SR6	17.99	20250604
UW-SR6	19.6	20250604
UW-SR6	17.78	20250604
UW-SR6	19.72	20250604
UW-SR6	21.29	20250604
UW-SR6	16.05	20250604
UW-SR7	23.78	20250604
UW-SR7	20.53	20250604
UW-SR7	23.83	20250604
UW-SR7	19.74	20250604
UW-SR7	18.01	20250604
UW-SR7	19.61	20250604
UW-SR7	22	20250604
UW-SR7	21.75	20250604
UW-SR7	15.73	20250604
UW-SR7	18.93	20250604
UW-SR7	19.64	20250604
UW-SR7	16.45	20250604
UW-SR7	19.2	20250604
UW-SR7	19.5	20250604
UW-SR7	21.81	20250604
UW-SR8	23.4	20250604
UW-SR8	20.52	20250604
UW-SR8	26.29	20250604
UW-SR8	23.94	20250604
UW-SR8	16.79	20250604
UW-SR8	21.23	20250604
UW-SR8	16.27	20250604
UW-SR8	20.36	20250604
UW-SR8	17.56	20250604
UW-SR8	16.62	20250604
UW-SR8	16	20250604
UW-SR8	16.88	20250604
UW-SR8	21.82	20250604
UW-SR8	19.79	20250604
UW-SR8	18.28	20250604
UW-SR9	21.81	20250604
UW-SR9	20.96	20250604
UW-SR9	23.48	20250604
UW-SR9	20.37	20250604
UW-SR9	21.78	20250604
UW-SR9	17.38	20250604
UW-SR9	16.43	20250604
UW-SR9	20.83	20250604
UW-SR9	19.22	20250604
UW-SR9	22.23	20250604
UW-SR9	17.04	20250604
UW-SR9	16.63	20250604
UW-SR9	17.57	20250604
UW-SR9	15.75	20250604
UW-SR9	18.23	20250604
UW-SR9	17.69	20250604
UW-SR10	24.36	20250604
UW-SR10	17.08	20250604
UW-SR10	21.07	20250604
UW-SR10	20.65	20250604
UW-SR10	18.17	20250604
UW-SR10	16.98	20250604
UW-SR10	25.28	20250604
UW-SR10	23.84	20250604
UW-SR10	19.65	20250604
UW-SR10	20.19	20250604
UW-SR10	22.84	20250604
UW-SR10	17.24	20250604
UW-SR10	20.14	20250604
UW-SR10	22.62	20250604
UW-SR10	16.52	20250604
UW-SR11	22.81	20250604
UW-SR11	18.64	20250604
UW-SR11	32.58	20250604
UW-SR11	30.38	20250604
UW-SR11	26.52	20250604
UW-SR11	32.28	20250604
UW-SR11	20.32	20250604
UW-SR11	26.55	20250604
UW-SR11	26.26	20250604
UW-SR11	27.36	20250604
UW-SR11	16.83	20250604
UW-SR11	25.61	20250604
UW-SR11	20.72	20250604
UW-SR11	20.33	20250604
UW-SR11	16.29	20250604
UW-SR12	29.05	20250604
UW-SR12	26.97	20250604
UW-SR12	25.65	20250604
UW-SR12	26.1	20250604
UW-SR12	20.42	20250604
UW-SR12	20.69	20250604
UW-SR12	23	20250604
UW-SR12	24.83	20250604
UW-SR12	25.46	20250604
UW-SR12	22.32	20250604
UW-SR12	18.55	20250604
UW-SR12	21.75	20250604
UW-SR12	22.19	20250604
UW-SR12	14.11	20250604
UW-SR12	23.29	20250604
UW-SR13	26.37	20250604
UW-SR13	28.5	20250604
UW-SR13	24.59	20250604
UW-SR13	16.57	20250604
UW-SR13	17.06	20250604
UW-SR13	21.03	20250604
UW-SR13	25.7	20250604
UW-SR13	23.13	20250604
UW-SR13	22.32	20250604
UW-SR13	19.73	20250604
UW-SR13	18.16	20250604
UW-SR13	21.78	20250604
UW-SR13	22.2	20250604
UW-SR13	18.34	20250604
UW-SR13	15.32	20250604
UW-SR14	23.26	20250604
UW-SR14	25.25	20250604
UW-SR14	21.07	20250604
UW-SR14	15.01	20250604
UW-SR14	16.8	20250604
UW-SR14	18.49	20250604
UW-SR14	21.2	20250604
UW-SR14	14.95	20250604
UW-SR14	13.81	20250604
UW-SR14	25.21	20250604
UW-SR14	16.11	20250604
UW-SR14	25.16	20250604
UW-SR14	15.64	20250604
UW-SR14	20.22	20250604
UW-SR14	15.25	20250604
UW-SR15	20.83	20250604
UW-SR15	23.56	20250604
UW-SR15	23.85	20250604
UW-SR15	26.79	20250604
UW-SR15	18.03	20250604
UW-SR15	21.61	20250604
UW-SR15	16.05	20250604
UW-SR15	18.38	20250604
UW-SR15	20.76	20250604
UW-SR15	10.83	20250604
UW-SR15	24.08	20250604
UW-SR15	20.81	20250604
UW-SR15	9.61	20250604
UW-SR15	14.91	20250604
UW-SR15	14.67	20250604
UW-SR16	17.04	20250604
UW-SR16	18.15	20250604
UW-SR16	23.64	20250604
UW-SR16	21.95	20250604
UW-SR16	12.48	20250604
UW-SR16	21.49	20250604
UW-SR16	14.32	20250604
UW-SR16	18.87	20250604
UW-SR16	12.45	20250604
UW-SR16	16.74	20250604
UW-SR16	18.15	20250604
UW-SR16	12.35	20250604
UW-SR16	16.68	20250604
UW-SR16	16.89	20250604
UW-SR16	32.29	20250604
UW-SR16	18.96	20250604
UW-SR17	26.2	20250604
UW-SR17	33.12	20250604
UW-SR17	29.77	20250604
UW-SR17	31.15	20250604
UW-SR17	26.42	20250604
UW-SR17	19.86	20250604
UW-SR17	22.95	20250604
UW-SR17	22.75	20250604
UW-SR17	20.97	20250604
UW-SR17	24.18	20250604
UW-SR17	23.44	20250604
UW-SR17	25.78	20250604
UW-SR17	20.37	20250604
UW-SR17	24.94	20250604
UW-SR17	25.73	20250604
UW-SR18	18.65	20250604
UW-SR18	27	20250604
UW-SR18	23.94	20250604
UW-SR18	21.16	20250604
UW-SR18	27.41	20250604
UW-SR18	27.3	20250604
UW-SR18	21.65	20250604
UW-SR18	18.11	20250604
UW-SR18	19.1	20250604
UW-SR18	21.18	20250604
UW-SR18	26.02	20250604
UW-SR18	20.22	20250604
UW-SR18	27.21	20250604
UW-SR18	17.58	20250604
UW-SR18	20.96	20250604
UW-SR19	20.42	20250604
UW-SR19	26.18	20250604
UW-SR19	29.85	20250604
UW-SR19	31.99	20250604
UW-SR19	24.65	20250604
UW-SR19	24.61	20250604
UW-SR19	33.85	20250604
UW-SR19	26.65	20250604
UW-SR19	22.99	20250604
UW-SR19	26.18	20250604
UW-SR19	19.89	20250604
UW-SR19	24.14	20250604
UW-SR19	28.26	20250604
UW-SR19	28.2	20250604
UW-SR19	25.11	20250604
UW-SR20	21.19	20250604
UW-SR20	38.12	20250604
UW-SR20	17.2	20250604
UW-SR20	27.94	20250604
UW-SR20	31.12	20250604
UW-SR20	23.07	20250604
UW-SR20	28.51	20250604
UW-SR20	24.99	20250604
UW-SR20	20.13	20250604
UW-SR20	25.53	20250604
UW-SR20	28.72	20250604
UW-SR20	26.41	20250604
UW-SR20	30.45	20250604
UW-SR20	20.13	20250604
UW-SR20	21.44	20250604
UW-SR21	25.79	20250604
UW-SR21	17.83	20250604
UW-SR21	15.53	20250604
UW-SR21	28.04	20250604
UW-SR21	21.09	20250604
UW-SR21	27.05	20250604
UW-SR21	17.64	20250604
UW-SR21	32.04	20250604
UW-SR21	37.44	20250604
UW-SR21	26.69	20250604
UW-SR21	19.3	20250604
UW-SR21	24.15	20250604
UW-SR21	17.5	20250604
UW-SR21	15.43	20250604
UW-SR21	20.02	20250604
UW-SR22	27.45	20250604
UW-SR22	36.52	20250604
UW-SR22	23.98	20250604
UW-SR22	29.05	20250604
UW-SR22	23.11	20250604
UW-SR22	19.63	20250604
UW-SR22	22.81	20250604
UW-SR22	23.2	20250604
UW-SR22	25.19	20250604
UW-SR22	24.53	20250604
UW-SR22	32.42	20250604
UW-SR22	26.58	20250604
UW-SR22	25.7	20250604
UW-SR22	31.12	20250604
UW-SR22	24.39	20250604
UW-SR22	26.99	20250604
UW-SR23	27.56	20250604
UW-SR23	30.54	20250604
UW-SR23	22.34	20250604
UW-SR23	33.3	20250604
UW-SR23	20.06	20250604
UW-SR23	29.97	20250604
UW-SR23	27.71	20250604
UW-SR23	29.65	20250604
UW-SR23	28.95	20250604
UW-SR23	21.76	20250604
UW-SR23	27.06	20250604
UW-SR23	25.67	20250604
UW-SR23	28.63	20250604
UW-SR23	17.45	20250604
UW-SR23	18.72	20250604
UW-SR24	16.54	20250604
UW-SR24	22.95	20250604
UW-SR24	8.99	20250604
UW-SR24	37.19	20250604
UW-SR24	18.02	20250604
UW-SR24	21.9	20250604
UW-SR24	19.45	20250604
UW-SR24	22.52	20250604
UW-SR24	28.95	20250604
UW-SR24	26.76	20250604
UW-SR24	33.7	20250604
UW-SR24	32.42	20250604
UW-SR24	21.9	20250604
UW-SR24	26.57	20250604
UW-SR24	15.49	20250604
UW-SR25	26.24	20250604
UW-SR25	20.21	20250604
UW-SR25	20.08	20250604
UW-SR25	15.79	20250604
UW-SR25	13.4	20250604
UW-SR25	27.7	20250604
UW-SR25	24.99	20250604
UW-SR25	28.81	20250604
UW-SR25	23.04	20250604
UW-SR25	30.31	20250604
UW-SR25	24.26	20250604
UW-SR25	11.69	20250604
UW-SR25	21.02	20250604
UW-SR25	21.52	20250604
UW-SR25	19.91	20250604
UW-SR26	31.58	20250604
UW-SR26	32.5	20250604
UW-SR26	28.69	20250604
UW-SR26	35.72	20250604
UW-SR26	34.1	20250604
UW-SR26	26.56	20250604
UW-SR26	33.99	20250604
UW-SR26	36.89	20250604
UW-SR26	28.03	20250604
UW-SR26	19.27	20250604
UW-SR26	27.67	20250604
UW-SR26	27.16	20250604
UW-SR26	32.9	20250604
UW-SR26	23.71	20250604
UW-SR26	25.16	20250604
UW-SR27	28.82	20250604
UW-SR27	21.2	20250604
UW-SR27	23.23	20250604
UW-SR27	33.06	20250604
UW-SR27	24.08	20250604
UW-SR27	18.11	20250604
UW-SR27	22.72	20250604
UW-SR27	20.01	20250604
UW-SR27	22.05	20250604
UW-SR27	26.77	20250604
UW-SR27	26.58	20250604
UW-SR27	17.32	20250604
UW-SR27	26.34	20250604
UW-SR27	23.79	20250604
UW-SR27	22.52	20250604
UW-SR28	29.69	20250604
UW-SR28	18.08	20250604
UW-SR28	24.69	20250604
UW-SR28	21.31	20250604
UW-SR28	30.05	20250604
UW-SR28	18.59	20250604
UW-SR28	16.62	20250604
UW-SR28	22.45	20250604
UW-SR28	15.53	20250604
UW-SR28	30.46	20250604
UW-SR28	27.6	20250604
UW-SR28	20.97	20250604
UW-SR28	27.84	20250604
UW-SR28	17	20250604
UW-SR28	23.66	20250604
UW-SR29	29	20250604
UW-SR29	26.98	20250604
UW-SR29	28.79	20250604
UW-SR29	31.67	20250604
UW-SR29	27.03	20250604
UW-SR29	21.96	20250604
UW-SR29	28.91	20250604
UW-SR29	34.13	20250604
UW-SR29	22.97	20250604
UW-SR29	24.93	20250604
UW-SR29	17.03	20250604
UW-SR29	16.99	20250604
UW-SR29	23.72	20250604
UW-SR29	27.41	20250604
UW-SR29	21.53	20250604
UW-SR30	32.84	20250604
UW-SR30	28.25	20250604
UW-SR30	27.93	20250604
UW-SR30	26.14	20250604
UW-SR30	27.64	20250604
UW-SR30	33.41	20250604
UW-SR30	23.45	20250604
UW-SR30	30.26	20250604
UW-SR30	28.79	20250604
UW-SR30	27.01	20250604
UW-SR30	19.09	20250604
UW-SR30	26.95	20250604
UW-SR30	37.91	20250604
UW-SR30	30.97	20250604
UW-SR30	22.44	20250604
UW-SR31	14.34	20250604
UW-SR31	29.04	20250604
UW-SR31	16.69	20250604
UW-SR31	26.27	20250604
UW-SR31	18.44	20250604
UW-SR31	24.45	20250604
UW-SR31	25.67	20250604
UW-SR31	19.63	20250604
UW-SR31	26.7	20250604
UW-SR31	26.28	20250604
UW-SR31	28.23	20250604
UW-SR31	19.83	20250604
UW-SR31	21.81	20250604
UW-SR31	22.38	20250604
UW-SR31	21.71	20250604
UW-SR32	27.3	20250604
UW-SR32	28.42	20250604
UW-SR32	25.94	20250604
UW-SR32	24.6	20250604
UW-SR32	23.28	20250604
UW-SR32	21.28	20250604
UW-SR32	25.03	20250604
UW-SR32	18.48	20250604
UW-SR32	19.93	20250604
UW-SR32	27.29	20250604
UW-SR32	25.02	20250604
UW-SR32	23.78	20250604
UW-SR32	33.35	20250604
UW-SR32	20.04	20250604
UW-SR32	25.21	20250604