outplant-tag,priming-site,treatment,rack,position,logger,robo-oyster,notes
348,Point Whitney,Control,1,4,,Robo 2,"""UW"" + ""treatment"" + ""Huffmyer"" on back of tags"
366,Point Whitney,Control,2,1,,Robo 3,yellow cattle tags
370,Point Whitney,Control,3,2,,Robo 6 & 8,
379,Point Whitney,Heat,3,1,,Robo 5 & 7,
344,Point Whitney,Heat,1,2,22105355,Robo 1,
352,Point Whitney,Heat,2,3,22105357,Robo 4,
335,UW,Control,2,4,,,
351,UW,Control,3,3,,,
333,UW,Control,1,1,,,
367,UW,Heat,3,4,,,
338,UW,Heat,1,3,,,
390,UW,Heat,2,2,,,